,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,sum_deaths,sum_costs
51,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,4,1,0,5,1,0,0,4,0,6,0,0,3,95213987.28559849,0.0,107931033.30621487,0.0037650126386408215,28059812.572721604,0.006588736226646416,24092218.720461875,0.0,199448641.80415863,0.07359938292659887,61400000.0,0.0,0.08395313179188611,454745693.68915546
52,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,1,1,0,1,0,2,0,0.0,0.0,168228347.60456678,0.0018825063193204108,56247783.26967418,0.030295335463948303,36495051.475996464,0.0059509869495512025,139505774.0941645,0.048644216930626025,146000000.0,0.0,0.08677304566344593,400476956.4444019
53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,6,1,1,2,0,0,3,1,5,199655866.49917647,0.05583670554196529,157097341.45353597,0.03727748028134842,81913987.91937247,0.0,7407569.336910242,1.9928535744220515e-05,99996697.59630913,0.0,121200000.0,0.0,0.09313411435905793,546071462.8053043
54,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,7,4,0,2,0,77174521.36298189,0.005452977905018734,125708999.91881451,0.020141345807134274,23175179.379560154,0.007056880066551927,37794450.00796572,0.0,27578229.96765524,0.0,286800000.0,1984.8744699851622,0.03265120377870494,291431380.6369775
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,5,3,1,1,2,7,0,7,0,227770207.4039513,0.045738598310449116,137582522.9427295,0.03766818825098465,83982590.31387958,0.0,29677601.071832888,0.0,44193513.54513965,0.0,0.0,0.0,0.08340678656143377,523206435.27753294
56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,3,4,7,0,6,0,0,0,5,0,7,1,0,106084623.86231455,0.0012117728677819408,137220471.0599543,0.0,31398797.71871161,0.0,22887503.537127346,0.00035705921697307217,75869639.77914998,0.0,30700000.0,616.9420742100904,0.001568832084755013,373461035.95725787
57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7,5,1,0,4,7,6,0,1,4,3,0,53972506.18695759,0.0,205716727.57591516,0.0,146290083.82608762,0.06836921141552776,20319063.206658736,0.0,68094717.76275629,0.0,115300000.0,0.0,0.06836921141552776,494393098.5583754
58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,4,0,2,0,1,0,1,1,0,1,1,0,232521872.51139975,0.045738598310449116,102336429.85235605,0.0,64665765.652008995,0.03789603118948285,15280468.896351261,0.0006600516537572789,70099151.28494313,0.008420142582189141,30700000.0,0.0,0.09271482373587839,484903688.19705915
59,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1,0,0,0,7,2,0,0,2,7,9,6,0,7,109503342.08350585,0.0,156016304.8169968,0.03632201860763954,22167818.198803753,0.0,47135848.0129001,0.0,94338185.77629063,0.0,146000000.0,0.0,0.03632201860763954,429161498.8884971
60,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,5,6,0,1,0,1,0,0,0,0,0,0,66507014.9338145,0.0,137537273.74406102,0.0,56813269.17257479,0.013177472453292836,0.0,0.0,22067213.992218457,0.009460729236340861,1126000000.0,0.0,0.022638201689633698,282924771.8426688
61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,6,5,0,0,3,0,0,7,0,6,1,0,1,117299462.54481953,0.0,59410102.93073928,0.0,25683157.05959281,0.0012926645882801071,30185557.33409556,0.0,69633099.86768697,0.008168603494990467,121200000.0,0.0,0.009461268083270575,302211379.7369342
62,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1,0,1,3,0,0,0,0,5,7,0,0,411923655.6774038,0.01646589539176168,77797112.44472042,0.0,24198032.45136138,0.0,15735694.94808637,0.00012839569686397536,44193513.54513965,0.0,92100000.0,2888.6251256780984,0.016594291088625656,573848009.0667117
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,5,0,0,7,10,2,0,5,1,254964903.63354528,0.045738598310449116,157539399.61346728,0.03766818825098465,28798397.130608946,0.0,53031780.90480893,0.0,66294113.011456475,0.0,0.0,0.0,0.08340678656143377,560628594.2938869
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,7,1,6,0,0,0,1,6,0,0,0,117657018.40774402,0.0,164157289.347466,0.006889600522047732,31398797.71871161,0.0,32178421.61841371,0.0011571954425341846,183522328.94649792,0.02873060775242853,0.0,3383.368150151724,0.03677740371701045,528913856.03883326
65,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,6,7,0,1,7,0,2,0,3,7,6,5,72222705.9376919,0.0,155736187.608082,0.0,74004328.8022519,0.0056414764046814675,18876410.94934274,0.00024554234989363367,151912420.96166015,0.0,115300000.0,222.19175724512473,0.005887018754575101,472752054.2590287
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3,0,7,0,4,0,4,7,1,4,7,232287188.9400581,0.045738598310449116,90134962.63870409,0.01877568559325662,67626108.28683192,0.0,27030730.99799514,0.00023893831004157809,111832980.4006706,0.0,0.0,0.0,0.06475322221374732,528911971.2642599
67,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,2,9,0,1,0,0,0,0,3,0,4,1,0,0,174629653.72048903,0.0,59865351.95975819,0.009692168653329817,14436359.683071656,0.012170076612408225,19176830.963968083,0.0,41287823.94359795,0.007059108706588824,523300000.0,0.0,0.028921353972326865,309396020.27088493
68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,3,0,1,6,7,6,6,0,2,6,0,0,134088166.03671771,0.0,90667809.95478988,3.6791485527350964e-05,121861417.61353019,0.0,21556221.14781617,0.0,40273672.383724004,0.0,84600000.0,10.723319844155466,3.6791485527350964e-05,408447287.13657796
